label,message
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,"Lowest prices guaranteed on Amazon voucher! Buy 1 get 1 free, offer ends tonight tinyurl.com/winbig"
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.verify-account-now.com
spam,You have 1 new voicemail regarding your unclaimed $10000 refund. Call now.
ham,"Thanks for sending the invoice, I'll process the payment by Friday."
spam,WINNER!! As a valued network customer you have been selected to receive a PlayStation 5!
ham,The project deadline has been moved to next Thursday.
spam,Act now! Your car is waiting. Click www.free-gift-offer.net before offer expires today.
spam,Your loan of $1000 has been approved. No credit check needed. Apply now www.verify-account-now.com
ham,Can we reschedule our call to 6 PM instead?
spam,Hot singles in your area want to chat with you! Click tinyurl.com/winbig now
spam,"Congratulations, you've been chosen for a free cash prize cruise! Call now to claim."
spam,You've been pre-approved for a credit card with $5000 limit. Apply instantly.
spam,Act now! Your iPhone 16 is waiting. Click bit.ly/xyz123 before offer expires today.
ham,The project deadline has been moved to next Wednesday.
ham,Reminder: your dentist appointment is scheduled for Thursday at 2 PM.
ham,Reminder: your dentist appointment is scheduled for Wednesday at 5 PM.
spam,Act now! Your cash prize is waiting. Click www.free-gift-offer.net before offer expires today.
spam,Congratulations! You have won a car worth $10000. Click here bit.ly/xyz123 to claim now!
ham,Can we reschedule our call to 2 PM instead?
spam,Get rich quick! Earn $500 per day working from home. No experience needed.
spam,URGENT: Your account will be suspended. Verify your details immediately at www.free-gift-offer.net
ham,"I'll be a few minutes late, traffic is heavy today."
spam,Act now! Your car is waiting. Click www.verify-account-now.com before offer expires today.
spam,Hot singles in your area want to chat with you! Click www.free-gift-offer.net now
ham,"I'll be a few minutes late, traffic is heavy today."
ham,Let's finalize the budget numbers before Thursday's review.
spam,"Claim your FREE vacation package today, no purchase necessary! Limited stock, hurry up."
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
ham,Happy birthday! Hope you have a wonderful day.
ham,Let's finalize the budget numbers before Thursday's review.
ham,"Mom said dinner will be ready by 2 PM, come home soon."
spam,"Lowest prices guaranteed on gift card! Buy 1 get 1 free, offer ends tonight www.claim-prize-now.com"
spam,This is not a scam! You really did win a cash prize. Text WIN to 12345 to claim.
ham,"Thanks for sending the invoice, I'll process the payment by Friday."
spam,You've been pre-approved for a credit card with $200 limit. Apply instantly.
spam,Get rich quick! Earn $500 per day working from home. No experience needed.
ham,Can you help me move some furniture this weekend?
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
spam,FINAL NOTICE: Your payment of $1000 is overdue. Pay now to avoid penalty bit.ly/xyz123
spam,Limited time offer! Get 40% off on all products. Shop now www.verify-account-now.com
ham,Can you send me the report before the next week meeting?
spam,Your loan of $200 has been approved. No credit check needed. Apply now tinyurl.com/winbig
spam,You have 1 new voicemail regarding your unclaimed $200 refund. Call now.
spam,Act now! Your spa weekend is waiting. Click www.verify-account-now.com before offer expires today.
spam,Act now! Your iPhone 16 is waiting. Click www.verify-account-now.com before offer expires today.
ham,Can you help me move some furniture this weekend?
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked tinyurl.com/winbig
spam,Get rich quick! Earn $5000 per day working from home. No experience needed.
ham,"Thanks for your help yesterday, really appreciate it!"
spam,You've been pre-approved for a credit card with $500 limit. Apply instantly.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked tinyurl.com/winbig
ham,Can you help me move some furniture this weekend?
spam,FINAL NOTICE: Your payment of $750 is overdue. Pay now to avoid penalty bit.ly/xyz123
ham,Reminder: your dentist appointment is scheduled for Wednesday at 6 PM.
spam,"Congratulations, you've been chosen for a free vacation package cruise! Call now to claim."
spam,Congratulations! You have won a Amazon voucher worth $15000. Click here www.free-gift-offer.net to claim now!
ham,"The exam syllabus has been updated, please check the portal."
ham,"Great job on the presentation today, the client loved it."
ham,Can you send me the report before the tomorrow meeting?
ham,"Thanks for sending the invoice, I'll process the payment by next week."
ham,"Great job on the presentation today, the client loved it."
ham,"Let's catch up over coffee this Thursday, are you free?"
ham,"Just checking in, how is the assignment coming along?"
spam,URGENT: Your account will be suspended. Verify your details immediately at www.free-gift-offer.net
spam,FINAL NOTICE: Your payment of $2500 is overdue. Pay now to avoid penalty www.verify-account-now.com
ham,The project deadline has been moved to next Friday.
spam,WINNER!! As a valued network customer you have been selected to receive a vacation package!
spam,You've been pre-approved for a credit card with $10000 limit. Apply instantly.
spam,Make $750 a week doing simple online surveys. Sign up free today!
spam,You've been pre-approved for a credit card with $15000 limit. Apply instantly.
ham,The project deadline has been moved to next Friday.
spam,WINNER!! As a valued network customer you have been selected to receive a Amazon voucher!
spam,WINNER!! As a valued network customer you have been selected to receive a cash prize!
ham,Let's finalize the budget numbers before tomorrow's review.
spam,This is not a scam! You really did win a car. Text WIN to 12345 to claim.
ham,Don't forget to pick up milk on your way home.
ham,Don't forget to pick up milk on your way home.
spam,You've been pre-approved for a credit card with $750 limit. Apply instantly.
spam,Limited time offer! Get 40% off on all products. Shop now www.claim-prize-now.com
ham,Don't forget to pick up milk on your way home.
spam,"Dear customer, you have won $200 in our lucky draw. Claim before it expires!"
ham,"The exam syllabus has been updated, please check the portal."
ham,Reminder: your dentist appointment is scheduled for tomorrow at 6 PM.
ham,"I attached the notes from today's class, let me know if anything is unclear."
spam,"Congratulations, you've been chosen for a free Amazon voucher cruise! Call now to claim."
spam,You've been pre-approved for a credit card with $750 limit. Apply instantly.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.free-gift-offer.net
spam,You have been selected for a FREE gift card! Reply YES to claim your prize now.
ham,"The exam syllabus has been updated, please check the portal."
ham,"Mom said dinner will be ready by 6 PM, come home soon."
ham,Don't forget to pick up milk on your way home.
ham,"Let's catch up over coffee this Thursday, are you free?"
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation tinyurl.com/winbig
ham,"Mom said dinner will be ready by 5 PM, come home soon."
spam,Act now! Your cash prize is waiting. Click bit.ly/xyz123 before offer expires today.
ham,"Just checking in, how is the assignment coming along?"
spam,Hot singles in your area want to chat with you! Click www.verify-account-now.com now
spam,Act now! Your gift card is waiting. Click www.verify-account-now.com before offer expires today.
ham,"Mom said dinner will be ready by 2 PM, come home soon."
spam,Limited time offer! Get 50% off on all products. Shop now www.verify-account-now.com
ham,"Thanks for your help yesterday, really appreciate it!"
ham,Reminder: your dentist appointment is scheduled for tomorrow at 6 PM.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation bit.ly/xyz123
ham,"Let's catch up over coffee this next week, are you free?"
ham,Happy birthday! Hope you have a wonderful day.
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,"The exam syllabus has been updated, please check the portal."
spam,You've been pre-approved for a credit card with $15000 limit. Apply instantly.
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
ham,Reminder: your dentist appointment is scheduled for Monday at 10 AM.
spam,FINAL NOTICE: Your payment of $500 is overdue. Pay now to avoid penalty tinyurl.com/winbig
ham,The meeting has been confirmed for 9:30 AM in conference room B.
spam,Alert: Suspicious login detected. Confirm your identity now or account will be locked www.free-gift-offer.net
ham,"Great job on the presentation today, the client loved it."
spam,FINAL NOTICE: Your payment of $500 is overdue. Pay now to avoid penalty www.free-gift-offer.net
spam,You have 1 new voicemail regarding your unclaimed $15000 refund. Call now.
ham,"Thanks for your help yesterday, really appreciate it!"
spam,Make $200 a week doing simple online surveys. Sign up free today!
ham,"Mom said dinner will be ready by 10 AM, come home soon."
spam,Congratulations! You have won a iPhone 16 worth $10000. Click here www.free-gift-offer.net to claim now!
ham,Happy birthday! Hope you have a wonderful day.
spam,Your Amazon account has an issue with order. Verify now to avoid cancellation www.verify-account-now.com
ham,"Just checking in, how is the assignment coming along?"
ham,"I attached the notes from today's class, let me know if anything is unclear."
ham,Can you send me the report before the tomorrow meeting?
ham,Can you help me move some furniture this weekend?
ham,Let's finalize the budget numbers before Thursday's review.
spam,Make $5000 a week doing simple online surveys. Sign up free today!
ham,Please review the attached document and share your feedback by Friday.
spam,You have been selected for a FREE vacation package! Reply YES to claim your prize now.
ham,Happy birthday! Hope you have a wonderful day.
ham,Can we reschedule our call to 2 PM instead?
spam,URGENT: Your account will be suspended. Verify your details immediately at www.claim-prize-now.com
